2026-08-08 21:27:04,052 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:27:05,495 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:27:05,804 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:27:06,207 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 21:32:04,002 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:32:05,625 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:32:06,368 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:32:06,677 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 21:37:04,230 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:37:05,318 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:37:05,598 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:37:05,872 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 21:42:15,967 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:42:17,398 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:42:18,179 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:42:18,576 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 21:47:03,963 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:47:05,028 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:47:05,282 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:47:05,619 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 21:52:03,762 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:52:04,909 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:52:05,648 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:52:05,948 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 21:57:07,735 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 21:57:08,844 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 21:57:09,634 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 21:57:09,985 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 22:02:05,340 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 22:02:06,386 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 22:02:07,206 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 22:02:07,690 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 22:07:03,080 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 22:07:04,115 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 22:07:04,861 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-08 22:07:05,200 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 33 USD events
2026-08-08 22:12:04,084 | INFO | DatabaseService | Database connected: Supabase
2026-08-08 22:12:05,038 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-08 22:12:05,757 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
