2026-08-10 01:02:05,031 | INFO | DatabaseService | Database connected: Supabase
2026-08-10 01:02:06,108 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-10 01:02:06,585 | INFO | __main__ | Market data integrity for XAU/USD: source=mt5 type=historical_ohlc grade=HIGH signal_generation=True pending_activation=True
2026-08-10 01:02:07,317 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-10 01:02:07,350 | INFO | __main__ | Running agent: macro_fundamental
2026-08-10 01:02:07,759 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 27 USD events
2026-08-10 01:02:07,775 | INFO | __main__ | Running agent: technical
2026-08-10 01:02:07,775 | INFO | __main__ | Running agent: classical
2026-08-10 01:02:07,775 | INFO | __main__ | Running agent: smc
2026-08-10 01:02:07,775 | INFO | __main__ | Running agent: price_action
2026-08-10 01:02:07,775 | INFO | __main__ | Running agent: multitimeframe
2026-08-10 01:02:08,261 | INFO | __main__ | Running agent: daily_bias
2026-08-10 01:02:09,058 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/setup_candidates?select=%2A&is_active=eq.True&symbol=eq.XAU%2FUSD "HTTP/2 200 OK"
2026-08-10 01:02:09,840 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=20 "HTTP/2 200 OK"
2026-08-10 01:02:10,106 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?select=%2A&order=analysis_run_at.desc&limit=12&symbol=eq.XAU%2FUSD "HTTP/2 200 OK"
2026-08-10 01:02:10,106 | INFO | __main__ | Session plan not ready for XAU/USD: no directional authority sources
2026-08-10 01:02:10,419 | INFO | httpx | HTTP Request: POST https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans "HTTP/2 401 Unauthorized"
2026-08-10 01:02:10,419 | ERROR | DatabaseService | Failed to insert session plan snapshot in Supabase, falling back local: {'message': 'new row violates row-level security policy for table "session_plans"', 'code': '42501', 'hint': None, 'details': None}
2026-08-10 01:02:11,402 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?select=payload&id=eq.SESSION_PLAN_20260810_010210_106820_5a84bbff&limit=1 "HTTP/2 200 OK"
2026-08-10 01:02:12,123 | INFO | httpx | HTTP Request: PATCH https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?id=eq.SESSION_PLAN_20260810_010210_106820_5a84bbff "HTTP/2 200 OK"
2026-08-10 01:02:12,407 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=100 "HTTP/2 200 OK"
2026-08-10 01:02:12,674 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=20 "HTTP/2 200 OK"
2026-08-10 01:02:12,972 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&or=%28and%28created_at.gte.2026-08-10T00%3A00%3A00Z%2Ccreated_at.lt.2026-08-11T00%3A00%3A00Z%29%2Cand%28closed_at.gte.2026-08-10T00%3A00%3A00Z%2Cclosed_at.lt.2026-08-11T00%3A00%3A00Z%29%29 "HTTP/2 200 OK"
2026-08-10 01:02:13,253 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=20 "HTTP/2 200 OK"
2026-08-10 01:02:13,691 | WARNING | services.llm_review | Gemini market attempt 1/3 failed: HTTP 401 — retry in 3s
2026-08-10 01:02:16,711 | WARNING | services.llm_review | Gemini market attempt 2/3 failed: HTTP 401 — retry in 6s
2026-08-10 01:02:22,735 | INFO | __main__ | \U0001f9e0 Gemini market context: unavailable/skipped (HTTP 401)
2026-08-10 01:02:22,735 | INFO | __main__ | \U0001f9e0 Gemini signal review skipped: WAIT hourly status
2026-08-10 01:02:22,767 | WARNING | services.llm_review | Gemini news attempt 1/3 failed: HTTP 401 — retry in 3s
2026-08-10 01:02:25,802 | WARNING | services.llm_review | Gemini news attempt 2/3 failed: HTTP 401 — retry in 6s
2026-08-10 01:02:31,835 | INFO | __main__ | \U0001f9e0 Gemini news review: unavailable/skipped (HTTP 401)
2026-08-10 01:02:31,863 | WARNING | services.llm_review | Gemini macro attempt 1/3 failed: HTTP 401 — retry in 3s
2026-08-10 01:02:34,898 | WARNING | services.llm_review | Gemini macro attempt 2/3 failed: HTTP 401 — retry in 6s
2026-08-10 01:02:40,922 | INFO | __main__ | \U0001f9e0 Gemini macro: unavailable/skipped (HTTP 401)
2026-08-10 01:02:41,253 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?select=%2A&order=analysis_run_at.desc&limit=12&symbol=eq.XAU%2FUSD&plan_ready=eq.True "HTTP/2 200 OK"
2026-08-10 01:02:41,253 | INFO | __main__ | Session-plan ladder skipped: plan not ready (status=NOT_READY, reason=no directional authority sources) and no unexpired day map to fall back on
2026-08-10 01:02:41,503 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-10 02:02:04,767 | INFO | DatabaseService | Database connected: Supabase
2026-08-10 02:02:05,848 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&status=in.%28OPEN%2CPARTIAL%2CTP1_HIT%2CPENDING%29 "HTTP/2 200 OK"
2026-08-10 02:02:06,294 | INFO | __main__ | Market data integrity for XAU/USD: source=mt5 type=historical_ohlc grade=HIGH signal_generation=True pending_activation=True
2026-08-10 02:02:07,077 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/macro_context?select=context&id=eq.latest&limit=1 "HTTP/2 200 OK"
2026-08-10 02:02:07,077 | INFO | __main__ | Running agent: macro_fundamental
2026-08-10 02:02:07,544 | INFO | services.news_feed_forexfactory | ForexFactory: loaded 27 USD events
2026-08-10 02:02:07,544 | INFO | __main__ | Running agent: technical
2026-08-10 02:02:07,544 | INFO | __main__ | Running agent: classical
2026-08-10 02:02:07,544 | INFO | __main__ | Running agent: smc
2026-08-10 02:02:07,544 | INFO | __main__ | Running agent: price_action
2026-08-10 02:02:07,544 | INFO | __main__ | Running agent: multitimeframe
2026-08-10 02:02:07,998 | INFO | __main__ | Running agent: daily_bias
2026-08-10 02:02:08,734 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/setup_candidates?select=%2A&is_active=eq.True&symbol=eq.XAU%2FUSD "HTTP/2 200 OK"
2026-08-10 02:02:09,468 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=20 "HTTP/2 200 OK"
2026-08-10 02:02:10,203 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?select=%2A&order=analysis_run_at.desc&limit=12&symbol=eq.XAU%2FUSD "HTTP/2 200 OK"
2026-08-10 02:02:10,203 | INFO | __main__ | Session plan not ready for XAU/USD: BUY alignment from macro; but authority WEAK — only 1 aligned source(s), needs 2 (or 1 with both an aligned sweep and zone support)
2026-08-10 02:02:11,017 | INFO | httpx | HTTP Request: POST https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans "HTTP/2 401 Unauthorized"
2026-08-10 02:02:11,017 | ERROR | DatabaseService | Failed to insert session plan snapshot in Supabase, falling back local: {'message': 'new row violates row-level security policy for table "session_plans"', 'code': '42501', 'hint': None, 'details': None}
2026-08-10 02:02:11,743 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?select=payload&id=eq.SESSION_PLAN_20260810_020210_203955_b66aa70d&limit=1 "HTTP/2 200 OK"
2026-08-10 02:02:12,479 | INFO | httpx | HTTP Request: PATCH https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?id=eq.SESSION_PLAN_20260810_020210_203955_b66aa70d "HTTP/2 200 OK"
2026-08-10 02:02:13,214 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=100 "HTTP/2 200 OK"
2026-08-10 02:02:13,464 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=20 "HTTP/2 200 OK"
2026-08-10 02:02:13,730 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&or=%28and%28created_at.gte.2026-08-10T00%3A00%3A00Z%2Ccreated_at.lt.2026-08-11T00%3A00%3A00Z%29%2Cand%28closed_at.gte.2026-08-10T00%3A00%3A00Z%2Cclosed_at.lt.2026-08-11T00%3A00%3A00Z%29%29 "HTTP/2 200 OK"
2026-08-10 02:02:14,481 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/trades_demo?select=%2A&order=created_at.desc&limit=20 "HTTP/2 200 OK"
2026-08-10 02:02:14,810 | WARNING | services.llm_review | Gemini market attempt 1/3 failed: HTTP 401 — retry in 3s
2026-08-10 02:02:17,833 | WARNING | services.llm_review | Gemini market attempt 2/3 failed: HTTP 401 — retry in 6s
2026-08-10 02:02:23,868 | INFO | __main__ | \U0001f9e0 Gemini market context: unavailable/skipped (HTTP 401)
2026-08-10 02:02:23,868 | INFO | __main__ | \U0001f9e0 Gemini signal review skipped: WAIT hourly status
2026-08-10 02:02:23,901 | WARNING | services.llm_review | Gemini news attempt 1/3 failed: HTTP 401 — retry in 3s
2026-08-10 02:02:26,925 | WARNING | services.llm_review | Gemini news attempt 2/3 failed: HTTP 401 — retry in 6s
2026-08-10 02:02:32,952 | INFO | __main__ | \U0001f9e0 Gemini news review: unavailable/skipped (HTTP 401)
2026-08-10 02:02:32,983 | WARNING | services.llm_review | Gemini macro attempt 1/3 failed: HTTP 401 — retry in 3s
2026-08-10 02:02:36,019 | WARNING | services.llm_review | Gemini macro attempt 2/3 failed: HTTP 401 — retry in 6s
2026-08-10 02:02:42,041 | INFO | __main__ | \U0001f9e0 Gemini macro: unavailable/skipped (HTTP 401)
2026-08-10 02:02:42,385 | INFO | httpx | HTTP Request: GET https://trsmuzekxmpqtvxdkxwe.supabase.co/rest/v1/session_plans?select=%2A&order=analysis_run_at.desc&limit=12&symbol=eq.XAU%2FUSD&plan_ready=eq.True "HTTP/2 200 OK"
